x,Curve1
0.110132,288.584
0.991189,297.256
1.54185,257.319
2.97357,177.483
3.30396,242.092
3.85463,268.726
5.94714,263.537
6.27753,292.146
9.03084,206.746
10.4626,218.339
11.4537,189.88
11.7841,244.204
13.1057,187.212
14.7577,115.972
14.978,164.569
16.1894,250.422
16.63,213.329
18.2819,213.518
19.8238,179.408
21.8062,193.921
23.0176,271.202
23.4581,399.824
