x,Curve1
0
1.10132,314.412
1.76211,297.344
3.19383,206.079
3.52423,251.831
4.07489,286.18
6.38767,272.159
7.15859,309.39
10.3524,212.612
10.6828,238.364
11.674,235.62
12.5551,264.292
13.326,227.237
15.0881,138.867
15.1982,173.166
16.5198,307.602
17.0705,239.094
19.0529,222.177
20.815,225.236
22.1366,228.244
23.4581,282.681
23.7885,439.862
