x,Curve1
0.110132,431.441
0.881057,331.529
1.54185,345.89
2.86344,251.756
3.30396,263.235
3.85463,314.726
5.94714,292.108
6.1674,354.991
9.03084,223.889
10.4626,261.196
11.3436,272.725
11.8943,295.645
13.1057,272.926
14.6476,173.103
14.978,184.569
16.0793,367.552
16.5198,273.317
18.2819,230.661
19.7137,267.967
21.8062,273.921
22.9075,308.332
23.5683,494.122
